ID,Categoría,Nombre_Entidades_Responsables,ConjuntoAnticorrupción - PIDA_de_Datos,Descripción,Sistema_de_Información,Publicado,Enlace_Publicado,Dato_abierto,Enlace Portal de Datos Abiertos,Fecha de ultima actualización (dd/mm/aaaa),Estado_Portal_Datos_Abiertos,Recomendación
81,,Departamento Administrativo de la Función Pública,Personas políticamente expuestas,Una lista de individuos a quienes se les ha confiado una función prominente,SIGEP,NS/NR,NS/NR,SI,https://www.datos.gov.co/Funci-n-p-blica/Personas-Expuestas-Pol-ticamente-PEP-/3qxn-uc22,,Publicado en el portal de datos abiertos,
82,Anticorrupción - PIDA,Departamento Administrativo de la Función Pública,Registro funcionarios públicos,Registro de personas que tienen o han tenido contratos con el gobierno.,SIGEP,SI,Disponible en http://www.sigep.gov.co/,SI,https://www.datos.gov.co/Funci-n-p-blica/Conjunto-servidores-p-blicos/2jzx-383z,21/06/2021,Publicado en el portal de datos abiertos,
83,Anticorrupción - PIDA,Colombia Compra Eficiente,Lista de contratistas de gobierno,Registro de organizaciones que tienen o han tenido contratos con el gobierno,SECOP,SI,Disponible en el portal nacional  de datos abiertos https://www.datos.gov.co/Gastos-Gubernamentales/SECOP-Integrado/rpmr-utcd,SI,https://www.datos.gov.co/Gastos-Gubernamentales/SECOP-Integrado/rpmr-utcd,08/07/2021,Publicado en el portal de datos abiertos,
84,Anticorrupción - PIDA,Superintendencia de Notariado y Registro,Registro público de la propiedad,Registros de propietarios de tierras y propiedades dentro de una jurisdicción.,NS/NR,NS/NR,https://www.supernotariado.gov.co/,SI,https://www.datos.gov.co/browse?Informaci%C3%B3n-de-la-Entidad_Nombre-de-la-Entidad=Superintendencia+de+Notariado+y+Registro&limitTo=datasets&provenance=official&sortBy=newest&page=2,08/07/2021,Publicado en el portal de datos abiertos,
85,Anticorrupción - PIDA,"Departamento Administrativo de la Función Pública, Entidades públicas",Registro de reuniones,"Registros y actas de reuniones realizadas por altos funcionarios públicos, especialmente en publicaciones sensibles a la corrupción.",NS/NR,NS/NR,NS/NR,NO,ND,,Publicado,NA
86,Anticorrupción - PIDA,Senado de la República y Cámara de Representantes,Cambios en regulaciones,"Registros de modificaciones hechas a la legislación y otras reglamentaciones dentro de una jurisdicción, incluyendo información sobre las fechas en que fueron hechas y sus proponentes.",ND,SI,https://www.datos.gov.co/dataset/Proyectos-de-ley-del-Senado-de-la-Republica/feim-cysj,SI,https://www.datos.gov.co/dataset/Proyectos-de-ley-del-Senado-de-la-Republica/feim-cysj,08/07/2021,Publicado en el portal de datos abiertos,
87,Anticorrupción - PIDA,Registraduría Nacional del Estado Civil,Promesas de campaña,"Registro de las promesas hechas por los políticos durante las campañas electorales, para monitorear su implementación.",NS/NR,NS/NR,NS/NR,SI,https://www.datos.gov.co/Justicia-y-Derecho/PROGRAMAS-DE-GOBIERNO-ELEGIDOS-GOBERNADORES-Y-ALCA/h236-q58p,28/12/2022,Publicado en el portal de datos abiertos,
88,Anticorrupción - PIDA,"Colombia Compra Eficiente
Secretaria de Transparencia",Contratistas sancionados,Registro de entidades privadas o personas que han sido excluidas de participar en procedimientos de contratación gubernamentales o que han sido sancionadas debido a su comportamiento en procedimientos de contratación anteriores.,ND,SI,"Disponible en el portal de datos abiertos https://www.datos.gov.co/Funci-n-p-blica/Antecedentes-de-SIRI/iaeu-rcn6
https://www.datos.gov.co/Gastos-Gubernamentales/Multas-y-Sanciones-SECOP-I/4n4q-k399",SI,"https://www.datos.gov.co/Funci-n-p-blica/Antecedentes-de-SIRI/iaeu-rcn6
https://www.datos.gov.co/Gastos-Gubernamentales/Multas-y-Sanciones-SECOP-I/4n4q-k399",07/07/2021,Publicado en el portal de datos abiertos,
89,Anticorrupción - PIDA,Dirección de Impuestos y Aduanas Nacionales,Impuestos,"Registros de impuestos y otras tarifas o pagos, como regalías, recaudados por el gobierno y las empresas estatales.",NS/NR,NS/NR,NS/NR,SI,https://www.datos.gov.co/Hacienda-y-Cr-dito-P-blico/Recaudo-mensual-por-tipo-de-impuesto-2000-2021-p-/fx3e-af9b,,Publicado en el portal de datos abiertos,
90,Anticorrupción - PIDA,Departamento Administrativo de la Función Pública,Declaración de activos - patrimonial,"Información y datos sobre los bienes en poder de los servidores públicos y los políticos pertinentes y sus familiares. En muchos países, la divulgación de activos es obligatoria para cualquier servidor público.",SIGEP,SI,https://www.funcionpublica.gov.co/web/sigep,SI,https://www.datos.gov.co/Funci-n-p-blica/Declaraci-n-de-activos-patrimonial-servidores-p-bl/8tz7-h3eu,,Publicado en el portal de datos abiertos,
